miRNA	Normal_mean	RBD_mean	PD_mean	Normal.RBD.p	Normal.PD.p	RBD.PD.p	kruskal.p	kruskal.q
38	miR-22-3p	12.7372109157186	12.8234765916276	12.5486117624411	0.372243508360513	0.0298625394305766	0.0162238806754018	0.0248616066761696	0.076632246460664
39	miR-182-5p	13.0598546888771	11.5476802209347	12.2730539640111	1.96816405369754e-13	1.79349836996673e-05	4.67980987797549e-05	9.36709557987006e-14	4.90835808385191e-11
40	miR-148a-3p	12.329739390716	12.7875555783781	12.7068490091905	0.000202781154602725	0.000929358974624888	0.642796382132236	0.00020169324510023	0.00203244731601001
41	miR-96-5p	12.7684513110759	11.1537457602474	11.6060200085209	5.13828717925571e-09	2.01230028193952e-07	0.0792359607747355	3.91617836524382e-10	6.84025821129254e-08
42	miR-126-5p	12.2951504473456	12.550416528632	12.2492470989525	0.0390587506137526	0.749488606840148	0.031140613632919	0.0493812666639493	0.125547559083094
43	miR-342-3p	12.4833472058742	12.3000865703867	11.9910687589994	0.197024640561844	3.75089109015657e-05	0.0378517191902624	0.000490704672850164	0.00408141664402359
44	miR-28-3p	11.8686555227221	12.3874442825607	12.197974753791	5.34874562211628e-08	0.00296221923255196	0.0985199763952394	8.40820168897608e-07	2.61195375304554e-05
45	miR-199ab-3p	11.4567861733811	12.4145960267234	12.0452259649829	9.7559255420323e-10	3.39331552471611e-05	0.0137217470282182	1.16821235846243e-09	1.30003379435216e-07
46	miR-4433b-3p	10.9084738866818	11.4208509244139	11.7477333839376	0.0721183953979616	0.000178008349071999	0.0438177176874423	0.000782928421909725	0.00612320138926412
47	miR-26b-5p	12.079531529542	11.5801678875253	11.9865538697933	0.000728812126176364	0.364850831294324	0.00261157748885401	0.000822527415503103	0.00629634039877213
48	miR-186-5p	12.1862692773038	11.9242490672656	11.7843273265367	0.0695323887093295	0.000357001312914528	0.125814245136662	0.00208532765370578	0.0137268137776297
49	miR-142-5p	12.0880147552332	11.483538608545	11.6735709675646	0.000207258122480992	0.0148274927099749	0.414828440585371	0.000969372761022478	0.00725644752536826
50	miR-181a-5p	11.9391738422366	12.1016942915063	11.7927936914239	0.161341541690218	0.075910407272187	0.0030007015429849	0.010148957749312	0.0415472957862459
51	miR-30a-5p	11.7097971425586	11.9873513366265	11.5612366701462	0.0322807599606265	0.0807836440463155	0.0070420979359632	0.00804385285672364	0.0357201601434168
52	miR-100-5p	11.6389089249024	11.6197439929579	11.1993137129927	0.88795990098739	0.00740172112604431	0.0191184477242046	0.0153440072475633	0.0558632244264972
53	miR-335-3p	11.1567016154716	11.2112333030739	11.9115105754386	0.844504040321426	1.06161053707995e-05	8.02165039387426e-05	9.52891397016658e-06	0.000156035966261478
54	miR-23a-3p	11.6667513190242	11.8217973233284	11.6694061198384	0.0470091053462484	0.6025877708086	0.243186268294021	0.151158799698791	0.278898630430164
55	miR-130b-5p	11.4618701206666	11.5353431372897	11.9935834572947	0.256217624974128	7.17541063005445e-07	4.80313740374903e-05	8.01487129291526e-07	2.61195375304554e-05
56	miR-224-5p	11.2391642996497	11.4671772332012	11.7185831784556	0.0350511507322964	0.00194695787429769	0.428841571767555	0.00703927260410634	0.0317980934875148
57	miR-27a-3p	11.145840652495	11.7564004520671	11.3957216477381	1.47206808928006e-06	0.118276600073231	0.00241050459788042	7.56371247182606e-06	0.000141549476258459
58	miR-4732-3p	11.7474555715566	10.2536599292899	10.9064851099328	4.57885757291412e-08	0.0014214445478491	0.0321013798145801	2.49440734496581e-07	1.18824495342008e-05
59	miR-501-3p	11.3476000329321	11.0339948741197	10.9716339873039	0.045199511758074	0.00331285329828951	0.255644297849373	0.00911074849528236	0.0387413585697111
60	miR-128-3p	11.3259370320674	11.3125616172925	11.430411327321	0.509105555990578	0.594594696507254	0.881920669945471	0.781579751808868	0.844428432882158
61	miR-92b-3p	11.3103763031528	11.0316052953366	11.179775764217	0.126600050569353	0.208710874711232	0.773365289362259	0.255270332602859	0.398100161559221
62	miR-409-3p	10.7899741857399	11.2488644595303	11.2237506897494	0.0149437744017799	0.0190520552160845	0.768728550437056	0.0199979249660972	0.0646846461866355
63	miR-143-3p	10.7051894531685	11.238790056255	11.1251754411999	4.83220347191116e-05	0.0386073463732565	0.151624726150466	0.000421663014594806	0.00368252366079463
64	miR-192-5p	11.4673001902277	10.9382190766696	10.8761092827752	0.00070006293029839	0.00136587142453491	0.89149750606288	0.000610655562444363	0.00499974241751322
65	miR-106b-3p	11.2532043963974	10.7354561046704	11.2502544675831	0.00214699237426986	0.758229234038022	0.00784961020204017	0.0038054178594376	0.0203473363096459
66	miR-574-5p	11.0438799793658	10.9511249406954	11.0374642507058	0.71743873471956	0.878820095833365	0.514572379979416	0.826945758497701	0.882524597663534
67	miR-361-5p	10.9585621976862	11.420751312107	11.3035544821779	4.39445607279791e-05	0.000144625278963702	0.397698163897854	2.06160010320323e-05	0.000308650986879569
68	miR-103a-3p	11.176115434148	10.7216682733824	11.275146927059	0.00174876521065377	0.851671978687109	0.00331027268696335	0.00205944674890314	0.0137268137776297
69	miR-126-3p	10.8948776257177	11.3573925310425	11.0065661753938	0.000185765923315681	0.484528152001332	0.00784961020204017	0.000701198622252209	0.00556709209182057
70	miR-361-3p	11.1848972076992	11.1192529534203	10.7224259637118	0.537873729138698	0.000151489772688284	0.00231537520802715	0.000349259854996959	0.00321073971962116
71	miR-221-3p	10.0654132967568	11.0138924990553	10.9393903959164	6.4486658402288e-06	1.25190776804019e-06	0.579077803914749	3.39698866538494e-07	1.36924773897054e-05
72	miR-744-5p	10.3448651177883	11.0349303318562	11.1402012693982	3.37637264897785e-05	2.56943295196844e-05	0.901090195240927	6.95109925761492e-06	0.000140091385038085
73	miR-183-5p	11.1743730023131	9.7507932736391	10.4599405397514	4.97053629519441e-09	0.00907628535502313	0.0113687462580907	1.00958343247058e-07	5.87801909571761e-06
74	miR-139-3p	10.7502711805176	10.9544548157866	10.7283274556999	0.0501604198279861	0.643257732226196	0.0782047007244884	0.0914710516295011	0.190606333332627
75	miR-155-5p	11.1451911469969	10.6665129373413	10.6225219340386	2.28682677360679e-05	7.39084668825105e-07	0.829592685249063	5.63885037451383e-07	2.11054114017518e-05
76	miR-1301-3p	10.4996000450873	10.551956382074	11.0692384229122	0.349026938422013	5.17637048076276e-05	0.00350970548359664	0.000190782102758468	0.00198780260515163
77	miR-98-5p	10.3129678068835	10.4690913828585	10.8713341270661	0.545191216552965	0.000261696810008109	0.0139556221361555	0.00146084045941367	0.0102064053431035
78	miR-320b	10.1699711468543	9.90985634415709	9.70115981242543	0.509104741734384	0.234802961817842	0.133482660371589	0.259981639157309	0.403048458338551
79	miR-483-5p	9.84933999953157	10.1074558747422	9.27660275048662	0.122534448780602	0.0797891857533705	0.00799198170116102	0.0165724864909161	0.0585247844688958
80	miR-30b-5p	10.6248580802493	10.3254990094164	10.5592903824334	0.0052244248559503	0.415584098254837	0.0279697933670436	0.0114446955979875	0.0440957389216578
81	miR-2110	10.6532129784949	10.1941503432166	10.5601469527608	0.045199511758074	0.869753244608805	0.0694067374139275	0.0851340835230427	0.183581315909771
82	miR-140-3p	10.4808452551293	10.5377656138976	10.4486238697455	0.62487161687813	0.380272867479363	0.309870648317168	0.513453502598818	0.641042532265961
